o126,5767965.609,5509839.882,41.18843
o127,5767972.850,5509800.810,41.37051
o128,5767948.110,5509801.650,41.05850
o130,5767772.350,5509810.939,40.56267
o131,5767641.522,5509812.363,40.60676
o132,5767507.655,5509789.148,40.44490
o133,5767519.650,5509866.260,39.84905
o134,5767451.194,5509799.440,40.01656
o135,5767401.455,5509879.027,41.27600
o136,5767362.052,5509884.148,41.10876
o137,5767365.066,5509812.469,40.33880
o138,5767219.026,5509788.806,41.56138
o139,5767146.762,5509814.003,40.59871
o140,5767008.729,5509763.676,41.12703
o141,5767000.663,5509857.874,40.85442
o142,5766876.827,5509825.129,40.84923
o143,5766730.443,5509826.511,40.74934
o144,5766595.757,5509885.922,41.03902
o145,5766527.984,5509891.399,42.36767
o146,5766524.504,5509821.615,43.08982
o148,5766436.160,5509874.705,42.75054
o149,5766413.277,5509844.038,42.01782
o150,5766372.422,5509807.989,44.19706
o151,5766351.534,5509683.026,45.34788
o153,5766251.000,5509962.200,70.13406
o154,5766174.378,5510044.131,83.34429
o154.2,5766259.300,5509880.710,63.63311
o155,5766277.598,5509781.772,53.77264
o156,5766120.221,5509894.144,80.84982
o156.2,5766060.259,5510033.312,81.03427
o157,5766050.910,5509854.660,68.55453
o158,5765953.515,5509733.960,82.99651
o159,5765811.630,5509786.830,83.84009
o160,5765691.400,5509717.240,83.15348
o161,5765630.460,5509588.400,83.40934
o162,5765488.405,5509563.404,85.14462
o163,5765393.172,5509454.639,84.22281
o164,5765330.029,5509322.550,84.42339
o165,5765229.030,5509217.450,87.15364
o166,5765172.355,5509155.352,87.32301
o167,5765212.574,5509128.994,86.94758
o169,5765069.069,5508984.336,84.64969
o171,5764992.775,5508760.224,84.26310
o172,5764899.135,5508890.853,83.93530
o173,5764829.787,5508982.306,84.16425
o174,5764903.647,5508706.535,84.29778
o175,5764771.554,5508695.187,82.28830
o177,5765055.785,5508711.440,84.63919
o180,5765009.406,5508475.964,85.88013
